name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
Condemn,130528,normal,,{W},1,['W'],['W'],Instant,,,Uncommon,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""
—Alovnek, Boros guildmage",Daren Bader,13,,,,
Demystify,129524,normal,,{W},1,['W'],['W'],Instant,,,Common,Destroy target enchantment.,"""Illusion is a crutch for those with no grounding in reality.""
—Cho-Manno",Christopher Rush,14,,,,
Field Marshal,135258,normal,,{1}{W}{W},3,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Rare,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),He is the only one who sees the patterns in the overlapping maps and conflicting reports.,Stephen Tappin,15,2,2,,['6d6a31d5-a80b-5f31-9b46-2c2083a95581']
Field Marshal,,normal,,{1}{W}{W},3,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Rare,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),He is the only one who sees the patterns in the overlapping maps and conflicting reports.,Stephen Tappin,15★,2,2,,['668c64a2-cecb-5f48-af16-d7a64814d3e7']
Ghost Warden,132105,normal,,{1}{W},2,['W'],['W'],Creature — Spirit,,['Spirit'],Common,{T}: Target creature gets +1/+1 until end of turn.,"""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""
—Ilromov, traveling storyteller",Ittoku,16,1,1,,
Glorious Anthem,129572,normal,,{1}{W}{W},3,['W'],['W'],Enchantment,,,Rare,Creatures you control get +1/+1.,"Once heard, the battle song of an angel becomes part of the listener forever.",Kev Walker,17,,,,
Hail of Arrows,132107,normal,,{X}{W},1,['W'],['W'],Instant,,,Uncommon,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""
—General Takeno",Anthony S. Waters,18,,,,
Heart of Light,132090,normal,,{2}{W},3,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.",,Luca Zontini,19,,,,['08548840-8e62-5fed-b432-f2a5a0cb5f4e']
Heart of Light,,normal,,{2}{W},3,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.","For those who reach enlightenment, violence is an unnecessary distraction.",Luca Zontini,19★,,,,['36fcaa1e-64e3-56e3-950c-907db167e41f']
High Ground,132145,normal,,{W},1,['W'],['W'],Enchantment,,,Uncommon,Each creature you control can block an additional creature each combat.,"In war, as in society, position is everything.",rk post,20,,,,
Holy Day,129593,normal,,{W},1,['W'],['W'],Instant,,,Common,Prevent all combat damage that would be dealt this turn.,"""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""
—Karrim, Samite healer",Volkan Baǵa,21,,,,
Holy Strength,129594,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature gets +1/+2.",,Terese Nielsen,22,,,,['79996e77-112f-51e8-980c-0ec82f2d7754']
Holy Strength,,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature gets +1/+2.","""May angels fly at your back. May your blade cleave the darkness.""
—War blessing of Serra",Terese Nielsen,22★,,,,['4e4cbdec-e2d4-5f31-98a3-f2ef052c849d']
Honor Guard,129595,normal,,{W},1,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Common,{W}: Honor Guard gets +0/+1 until end of turn.,The strength of one. The courage of ten.,Dan Dos Santos,23,1,1,,
Icatian Priest,132123,normal,,{W},1,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Uncommon,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.",Stephen Tappin,24,1,1,,
Kjeldoran Royal Guard,130551,normal,,{3}{W}{W},5,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Rare,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,"Upon the frozen tundra stand the Kjeldoran Royal Guard, pikes raised, with the king's oath upon their lips.",Carl Critchlow,25,2,5,,
Loxodon Mystic,129638,normal,,{3}{W}{W},5,['W'],['W'],Creature — Elephant Cleric,,"['Elephant', 'Cleric']",Common,"{W}, {T}: Tap target creature.",Elder mystics take their vow of silence so seriously that they impose it on any who enter their presence.,Randy Gallegos,26,3,3,,
Loyal Sentry,129798,normal,,{W},1,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Rare,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""",Michael Sutfin,27,1,1,,
Luminesce,129912,normal,,{W},1,['W'],['W'],Instant,,,Uncommon,Prevent all damage that black sources and red sources would deal this turn.,"""The White Shield is not the burnished metal you lash to your forearm but the conviction that burns in your chest.""
—Lucilde Fiksdotter, leader of the Order of the White Shield",Daren Bader,28,,,,
Mobilization,129716,normal,,{2}{W},3,['W'],['W'],Enchantment,,,Rare,"Soldier creatures have vigilance.
{2}{W}: Create a 1/1 white Soldier creature token.","Wars are won with strength, valor, and numbers—especially numbers.",Carl Critchlow,29,,,,['1afcbee1-1310-5144-86ea-e7bf0fb34d2b']
Mobilization,,normal,,{2}{W},3,['W'],['W'],Enchantment,,,Rare,"Soldier creatures have vigilance.
{2}{W}: Create a 1/1 white Soldier creature token.","Wars are won with strength, valor, and numbers—especially numbers.",Carl Critchlow,29★,,,,['7f1bea50-20c0-51b3-8b2a-ac60f5d31133']
Nomad Mythmaker,130547,normal,,{2}{W},3,['W'],['W'],Creature — Human Nomad Cleric,,"['Human', 'Nomad', 'Cleric']",Rare,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","On the wild steppes, history vanishes in the dust. Only the mythmakers remain to say what was, and is, and will be.",Darrell Riche,30,2,2,,['ac19e0e0-6d8e-55ad-a7a9-68fd6032eaab']
Nomad Mythmaker,,normal,,{2}{W},3,['W'],['W'],Creature — Human Nomad Cleric,,"['Human', 'Nomad', 'Cleric']",Rare,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","On the wild steppes, history vanishes in the dust. Only the mythmakers remain to say what was, and is, and will be.",Darrell Riche,30★,2,2,,['5d53a06b-68a0-5d1a-a1a5-a676f16c23dd']
Pacifism,129667,normal,,{1}{W},2,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature can't attack or block.","For the first time in his life, Grakk felt a little warm and fuzzy inside.",Robert Bliss,31,,,,['b1e43df0-d501-5297-9cb4-c84d2a76945d']
Pacifism,,normal,,{1}{W},2,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature can't attack or block.","For the first time in his life, Grakk felt a little warm and fuzzy inside.",Robert Bliss,31★,,,,['26fc6830-a092-5e24-9b58-97f4c38f3e7c']
Paladin en-Vec,129668,normal,,{1}{W}{W},3,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Rare,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)",,Dave Kendall,32,2,2,,['08a671f0-ea90-531e-bbeb-c00793a57672']
Paladin en-Vec,,normal,,{1}{W}{W},3,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Rare,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","""I do not consider myself a hero. I know only what the Vec teach: justice must always be served and corruption must always be opposed.""",Dave Kendall,32★,2,2,,['214dbfe9-0f16-5b6b-be30-8771192a89ec']
Pariah,135248,normal,,{2}{W},3,['W'],['W'],Enchantment — Aura,,['Aura'],Rare,"Enchant creature
All damage that would be dealt to you is dealt to enchanted creature instead.",,Jon J Muth,33,,,,['9f315280-5d52-5dea-a679-a2d97386907e']
Pariah,,normal,,{2}{W},3,['W'],['W'],Enchantment — Aura,,['Aura'],Rare,"Enchant creature
All damage that would be dealt to you is dealt to enchanted creature instead.","""Why would I consider penance for my actions when I have so many subjects willing to do it for me?""
—Lord Konda",Jon J Muth,33★,,,,['7dff9ddf-213e-593d-a007-a72cf6ff925e']
Reviving Dose,132089,normal,,{2}{W},3,['W'],['W'],Instant,,,Common,"You gain 3 life.
Draw a card.",Samite healers never mix their pungent elixir with sweetener or tea. The threat of a second dose is enough to get most warriors back on their feet.,D. Alexander Gregory,34,,,,
Reya Dawnbringer,106384,normal,,{6}{W}{W}{W},9,['W'],['W'],Legendary Creature — Angel,['Legendary'],['Angel'],Rare,"Flying
At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","""You have not died until I consent.""",Matthew D. Wilson,35,4,6,,['341f9c8d-a838-58f9-933b-094c8d889a88']
Reya Dawnbringer,,normal,,{6}{W}{W}{W},9,['W'],['W'],Legendary Creature — Angel,['Legendary'],['Angel'],Rare,"Flying
At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","""You have not died until I consent.""",Matthew D. Wilson,35★,4,6,,['6028cab2-0478-584b-a880-8174a88eb188']
Righteousness,130552,normal,,{W},1,['W'],['W'],Instant,,,Rare,Target blocking creature gets +7/+7 until end of turn.,Sometimes the greatest strength is the strength of conviction.,Wayne England,36,,,,
Rule of Law,136291,normal,,{2}{W},3,['W'],['W'],Enchantment,,,Uncommon,Each player can't cast more than one spell each turn.,"Appointed by the kha himself, members of the tribunal ensure all disputes are settled with the utmost fairness.",Scott M. Fischer,37,,,,
Samite Healer,132101,normal,,{1}{W},2,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Common,{T}: Prevent the next 1 damage that would be dealt to any target this turn.,Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.,Anson Maddocks,38,1,1,,
Serra Angel,129726,normal,,{3}{W}{W},5,['W'],['W'],Creature — Angel,,['Angel'],Rare,"Flying, vigilance",Her sword sings more beautifully than any choir.,Greg Staples,39,4,4,,['b2f56602-e85a-588f-a4be-40b6e56f44f7']
Serra Angel,,normal,,{3}{W}{W},5,['W'],['W'],Creature — Angel,,['Angel'],Rare,"Flying, vigilance",Her sword sings more beautifully than any choir.,Greg Staples,39★,4,4,,['be665b02-1cf2-50c6-8861-85da921bc853']
Serra's Embrace,135214,normal,,{2}{W}{W},4,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature
Enchanted creature gets +2/+2 and has flying and vigilance.",,Zoltan Boros & Gabor Szikszai,40,,,,['dc219ada-64b4-5846-9840-e49986109aa9']
Serra's Embrace,,normal,,{2}{W}{W},4,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature
Enchanted creature gets +2/+2 and has flying and vigilance.",The touch of Serra's angels bears hopes aloft and empowers noble causes.,Zoltan Boros & Gabor Szikszai,40★,,,,['fe9187fa-cd14-5618-9a62-bcf18b523d84']
Skyhunter Patrol,129735,normal,,{2}{W}{W},4,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Common,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","""We leonin have come to rule the plains by taking to the skies.""
—Raksha Golden Cub",Matt Cavotta,41,2,3,,['db62961f-51de-569a-bfd8-b3f82abf1b18']
Skyhunter Patrol,,normal,,{2}{W}{W},4,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Common,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","""We leonin have come to rule the plains by taking to the skies.""
—Raksha Golden Cub",Matt Cavotta,41★,2,3,,['db398a18-0d81-50ba-bc86-a7de52a1be7f']
Skyhunter Prowler,132102,normal,,{2}{W},3,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Common,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","As tireless as her mount, a skyhunter's vigil is measured in days.",Vance Kovacs,42,1,3,,['5e670818-f7b1-52a6-bc6f-c9eccb8ce3ef']
Skyhunter Prowler,,normal,,{2}{W},3,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Common,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","As tireless as her mount, a skyhunter's vigil is measured in days.",Vance Kovacs,42★,1,3,,['66993685-84dd-5143-9454-8a4028d10a6a']
Skyhunter Skirmisher,129513,normal,,{1}{W}{W},3,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Uncommon,"Flying, double strike",,Greg Staples,43,1,1,,['0bd58de8-5807-55d0-a5ad-ebe42f2f1ebc']
Skyhunter Skirmisher,,normal,,{1}{W}{W},3,['W'],['W'],Creature — Cat Knight,,"['Cat', 'Knight']",Uncommon,"Flying, double strike","""Take the deadly grace and strength of the leonin, combined with a pteron mount capable of rending a foe in two and armed with notched steel. That is a skyhunter—and why Taj-Nar has never fallen.""
—Raksha Golden Cub",Greg Staples,43★,1,1,,['261c0ce9-13d9-58e2-922b-d4068ff4d743']
Soul Warden,129740,normal,,{W},1,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Uncommon,"Whenever another creature enters the battlefield, you gain 1 life.","Count carefully the souls and see that none are lost.
—Vec teaching",Randy Gallegos,44,1,1,,
Spirit Link,129744,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature deals damage, you gain that much life.",,Kev Walker,45,,,,['0da4a2a0-4d13-5c8a-bdff-12b67070798e']
Spirit Link,,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature deals damage, you gain that much life.","""We are all inextricably linked, souls woven in tapestry.""",Kev Walker,45★,,,,['a563f008-ed9f-5fc4-b6aa-1e68d63cb814']
Spirit Weaver,130999,normal,,{1}{W},2,['W'],['W'],Creature — Human Wizard,,"['Human', 'Wizard']",Uncommon,{2}: Target green or blue creature gets +0/+1 until end of turn.,"""Let my hope be your shield.""",Matthew D. Wilson,46,2,1,,
Starlight Invoker,130385,normal,,{1}{W},2,['W'],['W'],Creature — Human Cleric Mutant,,"['Human', 'Cleric', 'Mutant']",Uncommon,{7}{W}: You gain 5 life.,"""The constellations form a tapestry of light that traces my people's broken history. Day and night, I feel their glittering presence calling me to weave the pattern whole.""",Glen Angus,47,1,3,,
Steadfast Guard,132111,normal,,{W}{W},2,['W'],['W'],Creature — Human Rebel,,"['Human', 'Rebel']",Common,Vigilance (Attacking doesn't cause this creature to tap.),"""Best leave your tongue in its yap-hole, Mercadian scum, for your silvered words and golden bribes do not sparkle so brightly outside your city.""",Michael Komarck,48,2,2,,['c3b8083a-bbe4-524f-8e90-8b8a493152db']
Steadfast Guard,,normal,,{W}{W},2,['W'],['W'],Creature — Human Rebel,,"['Human', 'Rebel']",Common,Vigilance (Attacking doesn't cause this creature to tap.),"""Best leave your tongue in its yap-hole, Mercadian scum, for your silvered words and golden bribes do not sparkle so brightly outside your city.""",Michael Komarck,48★,2,2,,['c81dca90-b0cf-5ce8-965c-8dbe5a55cc1b']
Story Circle,129748,normal,,{1}{W}{W},3,['W'],['W'],Enchantment,,,Rare,"As Story Circle enters the battlefield, choose a color.
{W}: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage.",,Aleksi Briclot,49,,,,
Suntail Hawk,129753,normal,,{W},1,['W'],['W'],Creature — Bird,,['Bird'],Common,Flying,"Its eye the glaring sun, its cry the keening wind.",Heather Hudson,50,1,1,,['f286fe97-e2ad-5a5a-8e7f-0caa9dc898b4']
Suntail Hawk,,normal,,{W},1,['W'],['W'],Creature — Bird,,['Bird'],Common,Flying,"Its eye the glaring sun, its cry the keening wind.",Heather Hudson,50★,1,1,,['6b754dda-9a6c-5762-ae67-8069101eb4d4']
Tempest of Light,132131,normal,,{2}{W},3,['W'],['W'],Instant,,,Uncommon,Destroy all enchantments.,"""Let everything return to its true nature, so that destiny may takes its course.""",Wayne England,51,,,,
Treasure Hunter,135232,normal,,{2}{W},3,['W'],['W'],Creature — Human,,['Human'],Uncommon,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.","""The treasures of the ancients belong in museums, not in the grubby hands of grave robbers.""",Adam Rex,52,2,2,,
True Believer,129610,normal,,{W}{W},2,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Rare,You have shroud. (You can't be the target of spells or abilities.),So great is his certainty that mere facts cannot shake it.,Alex Horley-Orlandelli,53,2,2,,['c84cfe08-d681-58e9-a003-1447f3b6d0f7']
True Believer,,normal,,{W}{W},2,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Rare,You have shroud. (You can't be the target of spells or abilities.),So great is his certainty that mere facts cannot shake it.,Alex Horley-Orlandelli,53★,2,2,,['46743f03-e0a4-5976-8d42-c3b698384b4e']
Tundra Wolves,129604,normal,,{W},1,['W'],['W'],Creature — Wolf,,['Wolf'],Common,First strike (This creature deals combat damage before creatures without first strike.),"""I heard their eerie howling, the wolves calling their kindred across the frozen plains.""
—Onean scout",Richard Sardinha,54,1,1,,['ede09d78-f4b5-59eb-8356-dd125323f74f']
Tundra Wolves,,normal,,{W},1,['W'],['W'],Creature — Wolf,,['Wolf'],Common,First strike (This creature deals combat damage before creatures without first strike.),"""I heard their eerie howling, the wolves calling their kindred across the frozen plains.""
—Onean scout",Richard Sardinha,54★,1,1,,['94cb0244-f6ae-50c5-ba26-fd3f861c3bb0']
Venerable Monk,129786,normal,,{2}{W},3,['W'],['W'],Creature — Human Monk Cleric,,"['Human', 'Monk', 'Cleric']",Common,"When Venerable Monk enters the battlefield, you gain 2 life.",Age wears the flesh but galvanizes the soul.,D. Alexander Gregory,55,2,2,,
Voice of All,136290,normal,,{2}{W}{W},4,['W'],['W'],Creature — Angel,,['Angel'],Rare,"Flying
As Voice of All enters the battlefield, choose a color.
Voice of All has protection from the chosen color.",,rk post,56,2,2,,['3c6b79b0-1a84-5584-83c6-954430868f62']
Voice of All,,normal,,{2}{W}{W},4,['W'],['W'],Creature — Angel,,['Angel'],Rare,"Flying
As Voice of All enters the battlefield, choose a color.
Voice of All has protection from the chosen color.",,rk post,56★,2,2,,['814b54df-221c-5fdb-a516-0fbd438b57a7']
Wall of Swords,132120,normal,,{3}{W},4,['W'],['W'],Creature — Wall,,['Wall'],Uncommon,"Defender (This creature can't attack.)
Flying",The air hummed with the scissoring sound of uncounted blades that hovered in front of the invaders as though wielded by a phalanx of unseen hands.,Zoltan Boros & Gabor Szikszai,57,3,5,,['4ffc3780-0054-5128-b97e-b19d06b483c6']
Wall of Swords,,normal,,{3}{W},4,['W'],['W'],Creature — Wall,,['Wall'],Uncommon,"Defender (This creature can't attack.)
Flying",The air hummed with the scissoring sound of uncounted blades that hovered in front of the invaders as though wielded by a phalanx of unseen hands.,Zoltan Boros & Gabor Szikszai,57★,3,5,,['fefca4a6-440f-56be-ba90-b8587c55d347']
Warrior's Honor,129797,normal,,{2}{W},3,['W'],['W'],Instant,,,Common,Creatures you control get +1/+1 until end of turn.,"""The day will come when the righteous warrior faces a battle she cannot win. She will greet that day as she has any other.""
—Asmira, holy avenger",D. Alexander Gregory,58,,,,
Wild Griffin,129557,normal,,{2}{W},3,['W'],['W'],Creature — Griffin,,['Griffin'],Common,Flying,"""I abandoned my dream of a squadron of griffin-riders when the cost proved too high. Three trainers were eaten for every griffin broken to the bridle.""
—King Darien of Kjeldor",Matt Cavotta,59,2,2,,['9e583bce-5201-59f8-aa5c-f85c55824f41']
Wild Griffin,,normal,,{2}{W},3,['W'],['W'],Creature — Griffin,,['Griffin'],Common,Flying,"""I abandoned my dream of a squadron of griffin-riders when the cost proved too high. Three trainers were eaten for every griffin broken to the bridle.""
—King Darien of Kjeldor",Matt Cavotta,59★,2,2,,['75e792c1-d5d9-5712-9462-230fa196f861']
Windborn Muse,130549,normal,,{3}{W},4,['W'],['W'],Creature — Spirit,,['Spirit'],Rare,"Flying
Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.","""Her voice is justice, clear and relentless.""
—Akroma, angelic avenger",Adam Rex,60,2,3,,['9e49c166-9728-5259-b3e9-758b3c1357c6']
Windborn Muse,,normal,,{3}{W},4,['W'],['W'],Creature — Spirit,,['Spirit'],Rare,"Flying
Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.","""Her voice is justice, clear and relentless.""
—Akroma, angelic avenger",Adam Rex,60★,2,3,,['556e35e6-ad67-51c6-8580-eda71597a507']
Wrath of God,129808,normal,,{2}{W}{W},4,['W'],['W'],Sorcery,,,Rare,Destroy all creatures. They can't be regenerated.,,Kev Walker,61,,,,
Youthful Knight,129790,normal,,{1}{W},2,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Common,First strike,Idealism fits him better than his armor.,Rebecca Guay,62,2,1,,['bfed2fdd-d029-545f-88f7-5ab45446cf27']
Youthful Knight,,normal,,{1}{W},2,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Common,First strike,Idealism fits him better than his armor.,Rebecca Guay,62★,2,1,,['f4937944-9439-5887-85e0-fc3705243da8']
Academy Researchers,132072,normal,,{1}{U}{U},3,['U'],['U'],Creature — Human Wizard,,"['Human', 'Wizard']",Uncommon,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",They brandish their latest theories as warriors would wield weapons.,Stephen Daniele,63,2,2,,
